CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Male,53,23,72
229,Female,35,20,32
230,Male,54,20,30
231,Female,31,23,20
232,Female,54,23,61
233,Female,66,24,14
234,Female,45,22,52
235,Female,31,21,75
236,Female,49,22,91
237,Female,68,21,6
238,Female,43,21,14
239,Male,49,24,60
240,Female,69,22,53
241,Male,66,27,78
242,Male,43,25,14
243,Male,65,27,32
244,Male,33,27,81
245,Female,29,26,86
246,Male,66,28,29
247,Male,40,26,83
248,Female,73,28,38
249,Male,34,25,55
250,Female,69,26,20
251,Female,45,26,83
252,Female,45,26,13
253,Male,39,29,63
254,Female,34,29,76
255,Female,52,26,28
256,Female,32,27,29
257,Male,67,25,54
258,Male,47,27,82
259,Female,59,25,30
260,Female,45,25,7
261,Male,73,32,53
262,Male,75,32,47
263,Female,73,32,87
264,Male,69,32,55
265,Female,64,33,28
266,Male,75,31,78
267,Female,43,31,47
268,Male,77,32,84
269,Female,51,30,8
270,Male,50,31,86
271,Male,34,33,74
272,Female,60,33,71
273,Female,41,31,94
274,Male,52,33,35
275,Male,45,33,44
276,Male,46,34,85
277,Female,47,33,32
278,Female,42,31,16
279,Female,74,31,12
280,Female,52,30,57
281,Female,51,39,78
282,Female,66,36,12
283,Female,60,38,12
284,Female,83,38,93
285,Female,51,37,79
286,Male,56,38,67
287,Male,78,35,31
288,Male,70,39,80
289,Male,68,38,90
290,Female,40,37,61
291,Female,76,35,51
292,Male,39,37,30
293,Female,62,37,28
294,Male,52,39,87
295,Female,47,39,79
296,Male,59,37,27
297,Female,57,37,8
298,Male,55,38,37
299,Male,52,38,79
300,Male,47,36,62
301,Female,54,40,65
302,Female,60,44,85
303,Female,46,40,65
304,Female,76,43,38
305,Male,83,42,88
306,Female,67,43,31
307,Male,45,44,62
308,Female,60,42,92
309,Female,69,42,77
310,Female,52,44,4
311,Female,71,42,24
312,Female,44,42,28
313,Female,79,40,13
314,Female,70,41,44
315,Male,56,43,16
316,Male,66,41,54
317,Male,75,42,69
318,Female,45,41,85
319,Female,73,40,87
320,Female,47,44,10
321,Female,71,47,5
322,Female,53,48,63
323,Male,53,49,69
324,Female,53,49,26
325,Female,48,48,31
326,Female,53,48,56
327,Female,51,45,21
328,Female,79,45,62
329,Female,54,45,68
330,Female,61,48,71
331,Male,66,49,39
332,Male,64,47,84
333,Male,60,49,27
334,Male,73,45,92
335,Male,70,46,79
336,Female,66,49,37
337,Male,52,45,88
338,Female,50,48,59
339,Female,55,47,66
340,Male,52,46,76
341,Female,30,50,54
342,Male,82,50,41
343,Female,44,51,16
344,Female,71,50,14
345,Male,72,54,90
346,Female,59,51,57
347,Male,55,54,56
348,Male,75,54,78
349,Female,58,52,43
350,Male,55,50,6
351,Female,83,52,64
352,Female,51,52,5
353,Female,48,54,74
354,Female,68,50,5
355,Female,36,54,28
356,Female,34,53,49
357,Male,63,54,8
358,Male,61,54,19
359,Male,61,50,11
360,Male,66,54,84
361,Male,22,57,53
362,Male,59,55,31
363,Female,70,56,18
364,Female,72,57,69
365,Female,68,56,39
366,Female,19,58,10
367,Male,69,55,84
368,Female,18,55,34
369,Male,43,56,46
370,Male,48,56,44
